tid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0IffIW3eyCx9aZ36IqOu5o,0.34,0.0837,3,-12.072,1,0.042,0.985,0.761,0.0945,0.119,138.689,0
2C3rh8eX5vltOmwrz9I78n,0.444,0.339,3,-16.936,1,0.0418,0.66,0.103,0.163,0.656,142.112,0
5KQ6uddno2Hht84gJDHsPF,0.528,0.583,7,-8.776,0,0.0643,0.592,0,0.305,0.671,96.284,0
5z8eOnPiOC22EYpniAX3Qg,0.477,0.733,8,-8.301,1,0.0682,0.732,0.0756,0.153,0.385,120.42,0
1GZD0TZJHmdQaZsucHBmWT,0.517,0.273,10,-17.279,0,0.0627,0.866,0.774,0.979,0.321,63.423,0
2QZtOFPATNgKpUJiGUARZk,0.511,0.031,3,-19.636,1,0.0388,0.939,0.898,0.139,0.179,112.911,0
09g9OlH3RDjbffMAnvBPgw,0.356,0.324,7,-8.699,0,0.0289,0.704,0.0025,0.204,0.438,88.861,0
1CDBaGlisZlOJzvx88lL8A,0.742,0.671,5,-8.142,0,0.0407,0.794,0.00441,0.122,0.591,127.359,0
0IxLWzmafWC5VTnpnvykJq,0.38,0.164,7,-14.69,0,0.0452,0.985,0.955,0.125,0.0871,79.03,0
1WygPWqmNs4s2fxtjmtI3O,0.438,0.0172,9,-23.66,1,0.0384,0.973,0.557,0.0815,0.136,100.989,0
11vaRXRIFXJTRr3BuzNbk5,0.417,0.11,5,-16.504,0,0.0405,0.951,0.721,0.174,0.22,57.312,0
5p95DUZplmVxY0XCQ3hxUV,0.394,0.23,3,-10.475,1,0.0348,0.931,0.497,0.0662,0.358,78.319,0
0ADAFZE0bYIuaIyPNFl3LE,0.443,0.0711,1,-20.146,1,0.0486,0.989,0.894,0.101,0.596,175.02,0
0xcJPMoBe9FenntXbfyx97,0.597,0.128,9,-16.656,0,0.0491,0.959,0.000704,0.123,0.34,128.393,0
4zxd4tiXPlWMqoJltbVTbE,0.485,0.144,10,-12.824,1,0.0362,0.912,0.000114,0.0965,0.246,86.143,0
6YYu8qFzcY1ZyzzsJIQM12,0.465,0.35,3,-12.977,1,0.0403,0.41,0.279,0.135,0.62,93.336,0
0mHEBtkQ5H3PhAdWqLunva,0.457,0.395,5,-15.072,0,0.0376,0.652,4.52e-06,0.31,0.479,106.404,0
0ivpUENLpheuPoa6VuY1ax,0.53,0.143,8,-17.471,1,0.0423,0.958,0.497,0.278,0.119,125.464,0
7DUGRxCf9NFJffb5Eei8Ar,0.493,0.0421,2,-18.071,1,0.0347,0.913,0.173,0.0777,0.172,102.074,0
6ffJxrVKkPVW4hiRoiteB2,0.652,0.171,7,-16.1,1,0.0569,0.99,0.864,0.158,0.562,118.883,0
2dPWP7FMCxnv4u9Api6WWU,0.392,0.168,10,-22.249,1,0.0442,0.637,0.358,0.198,0.292,123.419,0
4xGFcQEIjtmbPD6Jsxq14M,0.641,0.14,8,-16.79,1,0.039,0.867,0.00166,0.105,0.388,129.318,0
4qRJ7ZJyfzchEd2fjle7Bz,0.456,0.222,0,-16.879,1,0.0354,0.938,0.806,0.24,0.15,112.725,0
3gMMHNUrq3rPeUfgQcAJ2H,0.404,0.0602,11,-26.459,0,0.0422,0.861,0.901,0.703,0.168,106.82,0
2jz7vSAguRJmBHEA4I6C4N,0.515,0.339,7,-16.457,0,0.0283,0.823,0.317,0.109,0.519,135.694,0
7yzM0pEseQUpb6BMViOPEA,0.522,0.379,4,-14.096,0,0.0286,0.635,0.925,0.114,0.454,133.698,0
18A1V1vsy5YgHFqb4galTw,0.803,0.335,8,-13.331,1,0.0451,0.579,0.0128,0.0849,0.786,132.682,0
5LaTsDrhrpXwLniidLpnF7,0.368,0.14,0,-15.005,0,0.045,0.901,0.874,0.0688,0.172,61.758,0
5wcAcShxT5qvLJvuM6jkZt,0.585,0.375,2,-12.171,0,0.0504,0.78,0.00365,0.0806,0.665,72.59,0
