tid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
1HBcgG37UDNjRg3VYruQMX,0.553,0.013,7,-25.46,1,0.0377,0.994,0.916,0.0915,0.0671,120.062,0
39ObnHa9VOJIwR1nULLXJI,0.499,0.0321,0,-27.78,0,0.0321,0.994,0.941,0.0851,0.266,95.921,0
0qfaICSE5qhRYHcetUqtbv,0.54,0.0466,11,-26.103,0,0.0481,0.982,0.884,0.116,0.0577,130.041,0
3QI14HQnAH2BB5CffziKaF,0.324,0.0137,2,-26.755,0,0.0384,0.984,0.917,0.108,0.0399,68.204,0
3uz5pvPIZEkgRgOpaP20Ge,0.484,0.0292,5,-23.059,0,0.0681,0.994,0.95,0.11,0.236,112.808,0
3TawnI3Le7xn06S24TPusx,0.389,0.028,10,-17.862,0,0.0442,0.99,0.904,0.106,0.0823,119.137,0
5vSLJ57UaeLdeB5Ar6mstE,0.601,0.0848,11,-23.327,1,0.0498,0.991,0.936,0.1,0.182,119.162,0
4dVCVkwJFhuLlY3mNia5uk,0.357,0.0285,10,-24.528,0,0.0373,0.99,0.875,0.103,0.105,69.312,0
3PBdF9Qvs04GXN4jLRieBK,0.399,0.0773,9,-20.81,0,0.0519,0.981,0.917,0.104,0.106,120.268,0
4hiP6lLoHzIoCo7PzFWl40,0.409,0.0785,7,-23.556,1,0.0422,0.995,0.913,0.0979,0.321,108.873,0
1ZcHPbjKEXiMcujCOlflXG,0.308,0.00881,5,-33.708,1,0.0387,0.996,0.887,0.0644,0.1,65.689,0
44fgANq8afRc6H4oVRk2VS,0.309,0.00262,2,-37.689,1,0.0396,0.983,0.909,0.0606,0.04,66.238,0
5vNrl1TXhzh2MiNibgIjWH,0.326,0.00998,1,-31.515,1,0.0373,0.988,0.892,0.172,0.0392,65.827,0
6xjdKkuCAJE5vZeKUac9GW,0.354,0.0161,10,-35.207,1,0.0424,0.992,0.919,0.104,0.424,85.873,0
